iter	Passed	Remaining
0	66	66025
1	66	33121
2	66	22148
3	66	16662
4	67	13371
5	67	11176
6	67	9607
7	67	8431
8	68	7516
9	68	6784
10	68	6185
11	69	5687
12	70	5314
13	70	4970
14	71	4672
15	71	4401
16	71	4155
17	72	3934
18	72	3736
19	72	3559
20	72	3398
21	73	3252
22	73	3119
23	73	2997
24	73	2885
25	74	2781
26	74	2685
27	74	2595
28	75	2512
29	75	2435
30	75	2362
31	75	2293
32	76	2231
33	76	2178
34	77	2127
35	77	2078
36	78	2032
37	78	1989
38	79	1957
39	79	1917
40	80	1878
41	80	1839
42	80	1800
43	81	1763
44	81	1728
45	81	1694
46	82	1666
47	82	1639
48	83	1613
49	83	1587
50	86	1603
51	86	1579
52	87	1555
53	87	1532
54	87	1511
55	88	1488
56	88	1466
57	88	1444
58	89	1422
59	89	1401
60	89	1381
61	89	1361
62	90	1342
63	90	1323
64	90	1306
65	91	1289
66	91	1272
67	91	1253
68	91	1237
69	92	1223
70	92	1208
71	92	1194
72	92	1180
73	93	1166
74	93	1152
75	93	1139
76	93	1126
77	94	1114
78	94	1102
79	94	1090
80	95	1078
81	95	1070
82	95	1059
83	96	1048
84	96	1036
85	96	1026
86	96	1015
87	96	1005
88	97	995
89	97	986
90	97	977
91	98	968
92	98	961
93	99	954
94	99	947
95	99	940
96	100	934
97	100	927
98	101	921
99	101	914
100	102	908
101	102	900
102	104	914
103	105	907
104	105	900
105	105	893
106	106	886
107	106	879
108	106	872
109	107	865
110	107	859
111	107	854
112	108	849
113	108	846
114	116	895
115	116	888
116	116	881
117	118	885
118	118	878
119	119	873
120	119	868
121	120	863
122	120	856
123	120	852
124	121	847
125	121	843
126	122	838
127	122	832
128	122	828
129	123	823
130	123	819
131	125	826
132	126	822
133	126	818
134	130	837
135	131	834
136	131	830
137	132	825
138	132	821
139	133	817
140	133	813
141	133	809
142	134	805
143	134	801
144	135	797
145	135	793
146	136	789
147	136	786
148	137	782
149	137	779
150	137	775
151	139	779
152	140	775
153	140	771
154	140	768
155	152	825
156	154	831
157	155	829
158	156	825
159	156	822
160	157	819
161	157	815
162	158	811
163	161	823
164	161	819
165	162	815
166	162	812
167	163	808
168	168	829
169	169	827
170	169	823
171	170	820
172	170	816
173	171	813
174	171	809
175	172	806
176	172	802
177	172	798
178	173	797
179	174	794
180	174	789
181	174	786
182	175	782
183	176	780
184	176	777
185	176	773
186	177	770
187	177	767
188	178	767
189	179	764
190	179	761
191	180	758
192	180	755
193	181	752
194	181	749
195	181	746
196	182	743
197	182	739
198	183	736
199	183	733
200	183	730
201	184	728
202	184	725
203	185	722
204	185	719
205	185	716
206	186	713
207	186	710
208	186	707
209	187	704
210	187	701
211	187	698
212	188	695
213	188	693
214	189	690
215	189	687
216	189	685
217	190	682
218	190	679
219	190	676
220	191	673
221	191	670
222	191	668
223	192	665
224	192	662
225	192	659
226	192	656
227	193	654
228	193	651
229	193	648
230	193	645
231	194	642
232	194	640
233	194	637
234	194	634
235	195	632
236	195	629
237	195	627
238	196	624
239	196	622
240	196	620
241	197	617
242	197	615
243	197	613
244	198	610
245	198	608
246	199	608
247	199	606
248	200	604
249	200	601
250	200	599
251	201	597
252	201	595
253	202	593
254	202	591
255	202	589
256	203	587
257	203	585
258	204	583
259	204	581
260	204	579
261	205	577
262	205	575
263	205	573
264	206	571
265	206	569
266	206	567
267	206	565
268	207	563
269	207	561
270	207	558
271	207	556
272	208	554
273	208	552
274	208	550
275	209	548
276	209	546
277	209	544
278	210	542
279	210	541
280	210	539
281	211	537
282	211	535
283	212	534
284	212	533
285	212	531
286	213	529
287	213	527
288	213	525
289	213	523
290	214	521
291	214	519
292	214	518
293	215	516
294	215	514
295	215	512
296	215	510
297	216	509
298	216	507
299	216	505
300	217	503
301	217	502
302	217	500
303	218	499
304	218	497
305	218	495
306	218	494
307	219	492
308	219	491
309	219	489
310	220	487
311	220	485
312	220	484
313	220	482
314	221	481
315	221	479
316	221	477
317	222	476
318	222	474
319	222	472
320	222	471
321	223	469
322	223	468
323	223	466
324	224	465
325	224	463
326	224	462
327	224	460
328	225	459
329	225	457
330	225	456
331	226	454
332	226	453
333	226	451
334	227	450
335	227	449
336	228	448
337	228	447
338	228	445
339	228	444
340	229	443
341	229	441
342	229	440
343	230	438
344	230	437
345	230	436
346	231	434
347	231	433
348	231	432
349	231	430
350	232	429
351	232	427
352	232	426
353	233	425
354	233	424
355	233	422
356	234	421
357	234	420
358	234	418
359	234	417
360	235	416
361	235	414
362	235	413
363	235	412
364	236	410
365	236	409
366	236	408
367	236	406
368	237	405
369	237	404
370	237	403
371	238	402
372	238	400
373	238	399
374	239	398
375	239	397
376	239	395
377	239	394
378	239	393
379	240	392
380	240	390
381	240	389
382	241	388
383	241	387
384	242	387
385	242	386
386	243	385
387	243	384
388	243	382
389	243	381
390	244	380
391	244	379
392	244	378
393	245	376
394	245	375
395	245	374
396	246	373
397	246	372
398	246	371
399	247	370
400	247	369
401	247	368
402	247	367
403	248	366
404	248	365
405	248	364
406	249	363
407	249	361
408	249	360
409	249	359
410	250	358
411	250	357
412	250	356
413	251	355
414	251	354
415	251	353
416	252	352
417	252	351
418	252	350
419	253	349
420	253	348
421	253	347
422	253	346
423	254	345
424	254	344
425	254	343
426	254	342
427	255	341
428	255	340
429	255	339
430	256	338
431	256	337
432	256	336
433	257	335
434	257	334
435	258	333
436	258	332
437	258	331
438	258	330
439	259	329
440	259	328
441	259	327
442	260	326
443	260	326
444	260	324
445	260	324
446	261	322
447	261	321
448	261	320
449	261	319
450	262	318
451	262	318
452	262	317
453	262	316
454	263	315
455	263	314
456	263	313
457	264	312
458	264	311
459	264	310
460	264	309
461	265	308
462	265	308
463	265	307
464	266	306
465	266	305
466	266	304
467	266	303
468	267	302
469	267	301
470	267	300
471	267	299
472	268	298
473	268	297
474	268	296
475	268	296
476	269	295
477	269	294
478	269	293
479	270	292
480	270	291
481	270	290
482	270	290
483	271	289
484	271	288
485	272	287
486	272	287
487	272	286
488	273	285
489	273	284
490	273	283
491	274	283
492	274	282
493	274	281
494	275	280
495	275	279
496	275	278
497	275	278
498	276	277
499	276	276
500	276	275
501	276	274
502	277	273
503	277	272
504	277	272
505	277	271
506	278	270
507	278	269
508	279	269
509	279	268
510	279	267
511	279	266
512	280	265
513	280	265
514	280	264
515	280	263
516	281	262
517	281	261
518	281	261
519	282	260
520	282	259
521	282	258
522	282	257
523	283	257
524	283	256
525	283	255
526	283	254
527	284	253
528	284	253
529	284	252
530	284	251
531	285	250
532	285	250
533	285	249
534	286	248
535	286	248
536	286	247
537	287	246
538	287	246
539	288	245
540	288	244
541	289	244
542	289	243
543	289	242
544	290	242
545	290	241
546	290	240
547	290	239
548	291	239
549	291	238
550	291	237
551	291	236
552	292	236
553	292	235
554	292	234
555	293	234
556	293	233
557	293	232
558	294	231
559	294	231
560	294	230
561	294	229
562	295	229
563	295	228
564	295	227
565	295	226
566	296	226
567	296	225
568	297	224
569	297	224
570	297	223
571	297	222
572	298	222
573	298	221
574	298	220
575	298	219
576	299	219
577	299	218
578	299	217
579	299	217
580	300	216
581	300	215
582	300	215
583	300	214
584	301	213
585	301	213
586	302	212
587	302	212
588	302	211
589	303	210
590	303	210
591	304	209
592	304	209
593	304	208
594	305	207
595	305	207
596	305	206
597	306	205
598	306	205
599	306	204
600	306	203
601	307	202
602	307	202
603	307	201
604	307	200
605	308	200
606	308	199
607	308	199
608	309	198
609	309	197
610	309	197
611	310	196
612	310	195
613	310	195
614	311	194
615	311	194
616	311	193
617	312	193
618	312	192
619	312	191
620	313	191
621	313	190
622	313	189
623	314	189
624	314	188
625	314	187
626	314	187
627	315	186
628	316	186
629	316	185
630	316	185
631	317	184
632	317	184
633	318	184
634	319	183
635	319	182
636	319	182
637	320	181
638	320	181
639	320	180
640	320	179
641	321	179
642	321	178
643	321	177
644	321	177
645	322	176
646	322	175
647	322	175
648	322	174
649	323	174
650	323	173
651	323	172
652	324	172
653	324	171
654	324	171
655	325	170
656	325	169
657	325	169
658	325	168
659	326	168
660	326	167
661	326	166
662	327	166
663	327	165
664	327	165
665	327	164
666	328	163
667	328	163
668	328	162
669	329	162
670	329	161
671	329	160
672	329	160
673	330	159
674	330	159
675	330	158
676	331	157
677	331	157
678	331	156
679	332	156
680	332	155
681	333	155
682	333	154
683	333	154
684	333	153
685	334	153
686	335	152
687	335	152
688	335	151
689	336	150
690	336	150
691	336	149
692	336	149
693	337	148
694	337	148
695	337	147
696	338	147
697	338	146
698	338	145
699	338	145
700	339	144
701	339	144
702	339	143
703	340	143
704	340	142
705	340	141
706	341	141
707	341	140
708	341	140
709	341	139
710	342	139
711	342	138
712	342	138
713	343	137
714	343	136
715	343	136
716	343	135
717	344	135
718	344	134
719	344	134
720	344	133
721	345	132
722	345	132
723	345	131
724	346	131
725	346	130
726	347	130
727	347	129
728	347	129
729	348	128
730	348	128
731	349	127
732	349	127
733	350	126
734	350	126
735	350	125
736	350	125
737	351	124
738	351	124
739	351	123
740	352	123
741	352	122
742	352	122
743	353	121
744	353	120
745	353	120
746	354	119
747	354	119
748	354	118
749	354	118
750	355	117
751	355	117
752	355	116
753	356	116
754	356	115
755	356	115
756	356	114
757	357	114
758	357	113
759	357	112
760	358	112
761	358	111
762	358	111
763	358	110
764	359	110
765	359	109
766	359	109
767	359	108
768	360	108
769	360	107
770	360	107
771	360	106
772	361	106
773	361	105
774	361	105
775	362	104
776	362	104
777	362	103
778	363	103
779	363	102
780	363	102
781	364	101
782	364	101
783	364	100
784	365	99
785	365	99
786	365	98
787	365	98
788	366	97
789	366	97
790	366	96
791	366	96
792	367	95
793	367	95
794	367	94
795	367	94
796	368	93
797	368	93
798	368	92
799	368	92
800	368	91
801	369	91
802	369	90
803	369	90
804	370	89
805	370	89
806	370	88
807	371	88
808	371	87
809	371	87
810	371	86
811	372	86
812	372	85
813	372	85
814	372	84
815	373	84
816	373	83
817	373	83
818	373	82
819	374	82
820	374	81
821	374	81
822	374	80
823	375	80
824	375	79
825	375	79
826	376	78
827	376	78
828	376	77
829	377	77
830	377	76
831	377	76
832	378	75
833	378	75
834	379	74
835	379	74
836	379	73
837	379	73
838	380	72
839	380	72
840	380	71
841	380	71
842	381	70
843	381	70
844	381	70
845	381	69
846	382	69
847	382	68
848	382	68
849	382	67
850	383	67
851	383	66
852	383	66
853	383	65
854	384	65
855	384	64
856	384	64
857	384	63
858	385	63
859	385	62
860	385	62
861	386	61
862	386	61
863	386	60
864	386	60
865	387	59
866	387	59
867	387	58
868	388	58
869	388	58
870	388	57
871	388	57
872	389	56
873	389	56
874	389	55
875	389	55
876	390	54
877	390	54
878	390	53
879	391	53
880	391	52
881	391	52
882	392	51
883	392	51
884	392	51
885	393	50
886	393	50
887	393	49
888	393	49
889	394	48
890	394	48
891	394	47
892	395	47
893	395	46
894	395	46
895	395	45
896	396	45
897	396	45
898	396	44
899	396	44
900	397	43
901	397	43
902	397	42
903	398	42
904	398	41
905	398	41
906	398	40
907	399	40
908	399	39
909	399	39
910	399	39
911	400	38
912	400	38
913	400	37
914	401	37
915	401	36
916	401	36
917	401	35
918	402	35
919	402	34
920	402	34
921	402	34
922	402	33
923	403	33
924	403	32
925	403	32
926	404	31
927	404	31
928	404	30
929	404	30
930	405	30
931	405	29
932	405	29
933	406	28
934	407	28
935	407	27
936	408	27
937	408	26
938	408	26
939	409	26
940	409	25
941	410	25
942	410	24
943	410	24
944	411	23
945	411	23
946	411	23
947	411	22
948	412	22
949	412	21
950	413	21
951	413	20
952	413	20
953	413	19
954	414	19
955	414	19
956	414	18
957	415	18
958	415	17
959	415	17
960	416	16
961	416	16
962	416	16
963	416	15
964	417	15
965	417	14
966	417	14
967	418	13
968	418	13
969	418	12
970	418	12
971	419	12
972	419	11
973	419	11
974	420	10
975	420	10
976	420	9
977	420	9
978	421	9
979	421	8
980	421	8
981	422	7
982	422	7
983	422	6
984	423	6
985	423	6
986	424	5
987	424	5
988	424	4
989	425	4
990	425	3
991	425	3
992	426	3
993	426	2
994	426	2
995	427	1
996	427	1
997	427	0
998	427	0
999	428	0
