iter	Passed	Remaining
0	57	57806
1	58	29075
2	58	19493
3	58	14673
4	59	11783
5	59	9855
6	59	8477
7	60	7444
8	60	6639
9	60	5996
10	60	5470
11	61	5035
12	61	4664
13	61	4346
14	61	4070
15	62	3829
16	62	3617
17	62	3427
18	63	3257
19	63	3103
20	63	2965
21	63	2838
22	64	2723
23	64	2617
24	64	2521
25	64	2432
26	65	2349
27	65	2271
28	65	2199
29	65	2132
30	66	2072
31	66	2015
32	66	1959
33	67	1908
34	67	1858
35	67	1811
36	67	1767
37	68	1726
38	68	1686
39	68	1649
40	68	1613
41	69	1579
42	69	1546
43	69	1515
44	69	1484
45	70	1455
46	70	1428
47	70	1401
48	70	1376
49	71	1352
50	71	1329
51	71	1307
52	72	1287
53	72	1266
54	72	1246
55	72	1226
56	73	1208
57	73	1190
58	73	1174
59	73	1158
60	74	1142
61	74	1126
62	74	1111
63	75	1097
64	75	1082
65	75	1068
66	75	1057
67	76	1043
68	76	1030
69	76	1018
70	76	1005
71	77	994
72	77	982
73	77	971
74	77	960
75	78	949
76	78	938
77	78	928
78	78	918
79	79	908
80	79	898
81	79	889
82	79	879
83	79	871
84	80	862
85	80	853
86	80	845
87	80	837
88	81	829
89	81	822
90	81	815
91	81	807
92	82	800
93	82	793
94	82	786
95	82	779
96	83	773
97	83	767
98	83	760
99	83	754
100	84	747
101	84	741
102	84	736
103	84	730
104	85	724
105	85	719
106	85	713
107	85	708
108	86	703
109	86	698
110	86	692
111	86	687
112	87	682
113	87	678
114	87	673
115	87	668
116	87	663
117	88	659
118	88	654
119	88	650
120	89	646
121	89	641
122	89	638
123	89	634
124	90	631
125	90	627
126	90	622
127	90	619
128	91	615
129	91	611
130	91	607
131	91	603
132	92	600
133	92	596
134	92	593
135	92	589
136	93	586
137	93	582
138	93	579
139	93	575
140	94	572
141	94	568
142	94	565
143	94	562
144	94	559
145	95	556
146	95	553
147	95	550
148	95	547
149	96	544
150	96	542
151	96	539
152	96	536
153	97	533
154	97	531
155	97	528
156	98	526
157	98	523
158	98	520
159	98	518
160	98	515
161	99	513
162	99	510
163	99	507
164	99	505
165	100	503
166	100	500
167	100	498
168	100	496
169	101	493
170	101	491
171	101	489
172	101	486
173	102	484
174	102	482
175	102	479
176	102	477
177	102	475
178	103	473
179	103	471
180	103	469
181	104	468
182	104	466
183	104	464
184	104	462
185	105	460
186	105	458
187	105	456
188	105	454
189	106	452
190	106	450
191	106	449
192	106	447
193	107	445
194	107	443
195	107	441
196	107	439
197	108	437
198	108	436
199	108	434
200	108	432
201	109	430
202	109	429
203	109	427
204	109	425
205	109	423
206	110	422
207	110	420
208	110	418
209	110	417
210	111	415
211	111	413
212	111	412
213	111	410
214	112	409
215	112	407
216	112	406
217	112	404
218	113	403
219	113	401
220	113	400
221	113	398
222	114	397
223	114	395
224	114	394
225	114	392
226	114	391
227	115	389
228	115	388
229	115	386
230	115	384
231	115	383
232	116	381
233	116	380
234	116	379
235	116	377
236	116	376
237	117	374
238	117	373
239	117	371
240	117	370
241	117	369
242	118	367
243	118	366
244	118	365
245	118	363
246	118	362
247	119	361
248	119	360
249	119	359
250	120	358
251	120	357
252	120	355
253	120	354
254	121	353
255	121	352
256	121	351
257	121	350
258	122	349
259	122	348
260	122	347
261	122	345
262	123	345
263	123	343
264	123	342
265	123	341
266	124	340
267	124	339
268	124	338
269	124	337
270	125	336
271	125	335
272	125	334
273	125	333
274	126	332
275	126	331
276	126	330
277	126	329
278	127	328
279	127	327
280	127	326
281	127	325
282	127	324
283	128	323
284	128	322
285	128	321
286	128	320
287	129	319
288	129	318
289	129	317
290	129	316
291	130	315
292	130	314
293	130	314
294	131	313
295	131	312
296	131	311
297	131	310
298	131	309
299	132	308
300	132	307
301	132	306
302	133	305
303	133	305
304	133	304
305	133	303
306	133	302
307	134	301
308	134	300
309	134	299
310	134	298
311	135	298
312	135	297
313	135	296
314	136	296
315	136	295
316	136	294
317	136	293
318	137	292
319	137	292
320	137	291
321	138	290
322	138	289
323	138	288
324	138	288
325	138	287
326	139	286
327	139	285
328	139	284
329	139	284
330	140	283
331	140	282
332	140	281
333	140	280
334	141	279
335	141	279
336	141	278
337	141	277
338	142	277
339	142	276
340	142	275
341	142	274
342	143	274
343	143	273
344	143	272
345	143	271
346	144	271
347	144	270
348	144	269
349	144	268
350	145	268
351	145	267
352	145	266
353	145	265
354	145	265
355	146	264
356	146	263
357	146	262
358	146	262
359	147	261
360	147	260
361	147	259
362	147	259
363	147	258
364	148	257
365	148	257
366	148	256
367	148	255
368	149	255
369	149	254
370	149	253
371	149	253
372	150	252
373	150	251
374	150	251
375	150	250
376	151	249
377	151	249
378	151	248
379	151	247
380	152	247
381	152	246
382	152	246
383	153	245
384	153	244
385	153	244
386	153	243
387	154	243
388	154	242
389	154	241
390	154	241
391	155	240
392	155	239
393	155	239
394	155	238
395	156	238
396	156	237
397	156	236
398	156	236
399	157	235
400	157	235
401	157	234
402	157	233
403	158	233
404	158	232
405	158	231
406	158	231
407	158	230
408	159	229
409	159	229
410	159	228
411	159	228
412	160	227
413	160	226
414	160	226
415	160	225
416	160	224
417	161	224
418	161	223
419	161	223
420	161	222
421	162	222
422	162	221
423	162	220
424	162	220
425	163	219
426	163	219
427	163	218
428	163	218
429	164	217
430	164	216
431	164	216
432	164	215
433	165	215
434	165	214
435	165	214
436	165	213
437	165	212
438	166	212
439	166	212
440	166	211
441	167	211
442	167	210
443	167	210
444	168	209
445	168	209
446	168	208
447	169	208
448	169	208
449	169	207
450	170	206
451	170	206
452	170	205
453	170	205
454	170	204
455	171	204
456	171	203
457	171	203
458	171	202
459	172	202
460	172	201
461	172	201
462	173	200
463	173	200
464	173	199
465	173	199
466	174	198
467	174	198
468	174	197
469	174	197
470	175	196
471	175	196
472	175	195
473	175	194
474	175	194
475	176	193
476	176	193
477	176	192
478	176	192
479	177	191
480	177	191
481	177	190
482	177	190
483	178	189
484	178	189
485	178	188
486	178	188
487	178	187
488	179	187
489	179	186
490	179	186
491	179	185
492	180	185
493	180	184
494	180	184
495	180	183
496	181	183
497	181	182
498	181	182
499	182	182
500	182	181
501	182	181
502	183	180
503	183	180
504	183	180
505	183	179
506	184	179
507	184	178
508	184	178
509	184	177
510	185	177
511	185	176
512	185	176
513	185	175
514	186	175
515	186	174
516	186	174
517	186	173
518	187	173
519	187	172
520	187	172
521	187	172
522	188	171
523	188	171
524	189	171
525	189	170
526	189	170
527	189	169
528	190	169
529	190	168
530	190	168
531	190	167
532	191	167
533	191	166
534	191	166
535	191	165
536	192	166
537	192	165
538	193	165
539	193	164
540	193	164
541	193	163
542	194	163
543	194	162
544	194	162
545	194	161
546	195	161
547	195	161
548	195	160
549	195	160
550	196	159
551	196	159
552	196	158
553	196	158
554	197	158
555	197	157
556	197	157
557	198	156
558	198	156
559	198	156
560	198	155
561	199	155
562	199	154
563	199	154
564	199	153
565	200	153
566	200	153
567	200	152
568	200	152
569	201	151
570	201	151
571	201	151
572	202	150
573	202	150
574	202	149
575	202	149
576	203	148
577	203	148
578	203	148
579	203	147
580	204	147
581	204	146
582	204	146
583	204	145
584	205	145
585	205	145
586	205	144
587	205	144
588	206	143
589	206	143
590	206	142
591	206	142
592	206	142
593	207	141
594	207	141
595	207	140
596	207	140
597	208	139
598	208	139
599	208	139
600	208	138
601	209	138
602	209	137
603	209	137
604	209	137
605	210	136
606	210	136
607	210	135
608	210	135
609	211	134
610	211	134
611	211	134
612	211	133
613	212	133
614	212	132
615	212	132
616	212	132
617	213	131
618	213	131
619	213	131
620	214	130
621	214	130
622	214	129
623	214	129
624	214	128
625	215	128
626	215	128
627	215	127
628	215	127
629	216	126
630	216	126
631	216	126
632	216	125
633	217	125
634	217	124
635	217	124
636	217	124
637	217	123
638	218	123
639	218	122
640	218	122
641	218	122
642	219	121
643	219	121
644	219	120
645	219	120
646	220	120
647	220	119
648	220	119
649	220	118
650	221	118
651	221	118
652	221	117
653	221	117
654	222	117
655	222	116
656	222	116
657	222	115
658	223	115
659	223	115
660	223	114
661	223	114
662	224	113
663	224	113
664	224	113
665	224	112
666	225	112
667	225	111
668	225	111
669	225	111
670	226	110
671	226	110
672	226	110
673	226	109
674	227	109
675	227	108
676	227	108
677	227	108
678	228	107
679	228	107
680	228	107
681	228	106
682	229	106
683	229	105
684	229	105
685	229	105
686	230	104
687	230	104
688	230	104
689	231	103
690	231	103
691	231	103
692	231	102
693	232	102
694	232	101
695	232	101
696	232	101
697	233	100
698	233	100
699	233	100
700	233	99
701	234	99
702	234	99
703	234	98
704	235	98
705	235	97
706	235	97
707	235	97
708	236	96
709	236	96
710	236	96
711	236	95
712	237	95
713	237	95
714	237	94
715	237	94
716	237	93
717	238	93
718	238	93
719	238	92
720	238	92
721	239	92
722	239	91
723	239	91
724	239	90
725	240	90
726	240	90
727	240	89
728	240	89
729	240	89
730	241	88
731	241	88
732	241	88
733	241	87
734	242	87
735	242	86
736	242	86
737	242	86
738	243	85
739	243	85
740	243	85
741	244	84
742	244	84
743	244	84
744	244	83
745	245	83
746	245	83
747	245	82
748	245	82
749	246	82
750	246	81
751	246	81
752	246	81
753	247	80
754	247	80
755	247	79
756	247	79
757	248	79
758	248	78
759	248	78
760	248	78
761	249	77
762	249	77
763	249	77
764	249	76
765	250	76
766	250	76
767	250	75
768	250	75
769	251	75
770	251	74
771	251	74
772	251	73
773	252	73
774	252	73
775	252	72
776	252	72
777	253	72
778	253	71
779	253	71
780	253	71
781	254	70
